,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Pistol Rounds Won Opp,First Kills Opp,KAST Opp,Clutches Opp,Eco Opp,Semi-Eco Opp,Half-Buy Opp,Full-Buy Opp,+1 Opp,-1 Opp,0 Opp,+2 Opp,-2 Opp,-3 Opp,+3 Opp,+4 Opp,-4 Opp,Result
0,MIBR,3,23,0.78,0.1666666666666666,1.0,0.0,0.83,0.61,0.8875000000000001,0.31,0.5425,1.0,0.11,0.0,1.0,1.0,0.0,1,17,0.68,0.1379310344827586,0.0,0.4,0.29,0.45,0.69,0.1124999999999999,0.4575,0.89,0.0,0.0,1.0,0.0,0.0,1
1,100 Thieves,1,17,0.68,0.1379310344827586,0.0,0.4,0.29,0.45,0.69,0.1124999999999999,0.4575,0.89,0.0,0.0,1.0,0.0,0.0,3,23,0.78,0.1666666666666666,1.0,0.0,0.83,0.61,0.8875000000000001,0.31,0.5425,1.0,0.11,0.0,1.0,1.0,0.0,0
2,Sentinels,2,23,0.8,0.28,0.5,1.0,0.44,0.63,0.705,0.38,0.605,0.9166666666666666,0.11,0.0,1.0,1.0,0.0,2,20,0.71,0.2,0.0,0.0,0.33,0.55,0.62,0.295,0.395,0.5566666666666666,0.0833333333333333,0.0,1.0,0.0,0.0,1
3,Cloud9,2,20,0.71,0.2,0.0,0.0,0.33,0.55,0.62,0.295,0.395,0.5566666666666666,0.0833333333333333,0.0,1.0,0.0,0.0,2,23,0.8,0.28,0.5,1.0,0.44,0.63,0.705,0.38,0.605,0.9166666666666666,0.11,0.0,1.0,1.0,0.0,0
4,100 Thieves,3,24,0.81,0.2105263157894736,0.0,0.0,0.73,0.63,0.8625,0.2225,0.5925,1.0,0.0,0.0,1.0,1.0,0.0,1,18,0.71,0.074074074074074,0.0,0.0,0.38,0.48,0.7775,0.1375,0.4075,1.0,0.0,0.0,1.0,0.0,0.0,1
5,NRG Esports,1,18,0.71,0.074074074074074,0.0,0.0,0.38,0.48,0.7775,0.1375,0.4075,1.0,0.0,0.0,1.0,0.0,0.0,3,24,0.81,0.2105263157894736,0.0,0.0,0.73,0.63,0.8625,0.2225,0.5925,1.0,0.0,0.0,1.0,1.0,0.0,0
6,Cloud9,2,24,0.65,0.1764705882352941,0.5,0.0,0.54,0.46,0.6675,0.225,0.485,0.7966666666666667,0.0,0.0,1.0,0.0,0.0,2,26,0.74,0.1538461538461538,0.0,0.5,0.25,0.69,0.7749999999999999,0.3325,0.515,1.0,0.2033333333333333,0.0,1.0,1.0,0.0,0
7,Evil Geniuses,2,26,0.74,0.1538461538461538,0.0,0.5,0.25,0.69,0.7749999999999999,0.3325,0.515,1.0,0.2033333333333333,0.0,1.0,1.0,0.0,2,24,0.65,0.1764705882352941,0.5,0.0,0.54,0.46,0.6675,0.225,0.485,0.7966666666666667,0.0,0.0,1.0,0.0,0.0,1
8,KRÜ Esports,1,20,0.68,0.04,0.0,1.0,0.57,0.29,0.67,0.105,0.4233333333333333,0.9166666666666666,0.0,0.0,1.0,1.0,0.0,3,19,0.75,0.2666666666666666,0.0,1.0,0.67,0.65,0.895,0.33,0.5766666666666667,1.0,0.0833333333333333,0.0,1.0,1.0,0.0,0
9,MIBR,3,19,0.75,0.2666666666666666,0.0,1.0,0.67,0.65,0.895,0.33,0.5766666666666667,1.0,0.0833333333333333,0.0,1.0,1.0,0.0,1,20,0.68,0.04,0.0,1.0,0.57,0.29,0.67,0.105,0.4233333333333333,0.9166666666666666,0.0,0.0,1.0,1.0,0.0,1
